Dept_Name,Narrative
Non-Profit Funding Program,"The Walton County Board of County Commissioners designates funding to support nonprofit agencies that contribute to the County’s vision of being the premier place to live, visit, work, and play. This funding is intended to enhance programs and services that promote the health and social well-being of Walton County residents. 

[FY 2027 Non-Profit Funding Applications](https://www.mywaltonfl.gov/DocumentCenter/View/45403/FY27-Nonprofit-Applications)"
Public Defender,"The Public Defender represents any person who is determined by the Court to be indigent, as provided in Section 27.52, Florida Statutes, and who is charged with a felony or criminal misdemeanor, or as a delinquent child, pursuant to a petition filed before a circuit court, Baker Act, and any other person the Court may designate. Pursuant to Florida Statute 27.54, the County shall provide this office with office space, utilities, telephone services, custodial services, library services, transportation services, communications services and payment of pretrial costs. Walton County provides its share of these costs along with the other counties of the First Judicial Circuit.

[Public Defender Court Technology Request](https://www.mywaltonfl.gov/DocumentCenter/View/45229/Public-Defender)"
South Walton Fire,"The South Walton Fire accounts for the cost of Emergency Medical Services provided by South Walton Fire District in accordance with the interlocal agreement. During the term of the Agreement, South Walton Fire District agrees to provide emergency and non-emergency medical services (EMS) and medical transport within southern Walton County, Florida.

[South Walton Fire District](https://www.swfd.org/) 

[South Walton Fire Agreement](https://www.mywaltonfl.gov/DocumentCenter/View/45232/South-Walton-Fire--State-Control-Budget)"
State Fire,"The State Fire Control accounts for state assessment that are imposed to fund activities related to fire prevention and control. These activities may include maintaining firebreaks, conducting controlled burns to reduce the risk of wildfires, training and equipping fire control personnel, and other related activities.

[Florida Department of Agriculture and Consumer Services Forestry](https://www.fdacs.gov/Forest-Wildfire/Wildland-Fire/Fire-Prevention/Fire-Management-Services)"
State Attorney,"The State Attorney is elected for each judicial circuit. The office’s responsibilities include appearing in the circuit and County courts within its judicial circuit and prosecuting or defending on behalf of the State all suits, applications, or motions, civil or criminal, in which the State is a party. Other duties involve attending grand jury sessions when required, summoning and examining witnesses for the State and assisting the State Attorney General on appeals from its respective circuit to the Supreme Court. Pursuant to Florida Statute 27.34, the County shall provide this office with office space, utilities, telephone services, custodial services, library services, transportation services and communications services. Walton County provides its share of these costs along with the other counties within the 1st Judicial Circuit.

[State Attorney Court Technology Request](https://www.mywaltonfl.gov/DocumentCenter/View/45231/State-Attorney-Technology-Budget)"
Statutory & Other Agency Fund,"The Walton County Board of County Commissioners has allocated funding to support a range of statutory and agency services that contribute to the community’s well-being. This budget includes support for programs such as mental health services, volunteer fire departments, healthcare response initiatives, redevelopment efforts, and other related services.

[Argyle Volunteer Fire Department Request](https://www.mywaltonfl.gov/DocumentCenter/View/45236/Argyle-Volunteer-Fire-Department)

[Economic Development Alliance Request](https://www.mywaltonfl.gov/DocumentCenter/View/45243/Economic-Development-Alliance)

[DeFuniak Springs Interlocal (Life Enrichment Center) Request](https://www.mywaltonfl.gov/DocumentCenter/View/45244/DeFuniak-Springs-Interlocal-Life-Enrichment-Center-Request)

[Gulf Coast Kids House](https://www.mywaltonfl.gov/DocumentCenter/View/45237/Gulf-Coast-Kids-House)

[Lakeview Center (Backer Act)](https://www.mywaltonfl.gov/DocumentCenter/View/45238/Lakeview-Center-Backer-Act)

[Lakeview Center (Mental Health)](https://www.mywaltonfl.gov/DocumentCenter/View/45239/Lakeview-Center-Mental-Health)

[Lakeview Center (Women & Children)](https://www.mywaltonfl.gov/DocumentCenter/View/45240/Lakeview-Center-Women--Children)

[Liberty Volunteer Fire Department Request](https://www.mywaltonfl.gov/DocumentCenter/View/45241/Liberty-Volunteer-Fire-Department)

[Liberty Volunteer Fire Department Letter Request](https://www.mywaltonfl.gov/DocumentCenter/View/45242/Liberty-Fire-District-Letter)


"
Walton County Health Department,"The Walton County Health Department operates as a full-time public health unit under a contractual agreement between Walton County and the State of Florida. In accordance with Chapter 154 of the Florida Statutes, counties are responsible for establishing and maintaining county health departments and public health facilities. These departments are tasked with delivering essential public health services, including maternal and child health, communicable disease control, and environmental health programs. 

County health departments (CHDs) improve the health status of the population by preventing epidemics, protecting against environmental hazards, encouraging healthy behaviors, preparing for and responding to disasters, and ensuring the quality and accessibility of health services.

CHDs in all 67 Florida counties—including Walton—function as state-local partnerships. They enter into an annual core contract with their host Board of County Commissioners, specifying the public health services to be provided and identifying the funding sources. These services are supported by a combination of state, county, and federal funds, as well as revenues from service fees, Medicaid, grants, and other contracts.

Effective public health delivery depends on coordinated local and regional partnerships. As stated in Section 154.001, Florida Statutes, “It is the intent of the Legislature to promote, protect, maintain and improve the health and safety of all citizens and visitors of our state through a system of coordinated county health department services.”

[Walton County Health Department Budget](https://www.mywaltonfl.gov/DocumentCenter/View/45235/Walton-County-Health-Department-Budget)"
Building Construction and Maintenance ,"The Building Construction and Maintenance Department includes the Facilities Maintenance, Custodian, and Parks Maint. The Facilities Maintenance Division provides a broad scope of services, including new construction, remodel, repair, maintenance, treatment plant maintenance assistance, and other facility-related topics to support County Departments and Constitutional Officers. The Parks Division maintains the grounds of parks, ballfields, County office building lawns, community centers, irrigation at parks and office buildings, fencing, playground equipment, parking lot islands, and others. The Custodian Division provides cleaning services to County offices Countrywide."
Building Department,"The Building Department plays a pivotal role in ensuring the safety, compliance, and integrity of construction projects within our community. It serves as the central hub for regulatory oversight and support throughout the construction process. Among its core responsibilities, the department issues contractor licenses, reviews permit applications, and conducts thorough inspections at various stages of construction to guarantee adherence to building codes and standards."
Code Compliance,"The primary function of Code Compliance is to uphold and enhance the aesthetics, property values, health and safety, and overall quality of life for the residents and visitors of Walton County. This is achieved through the fair, consistent, and equitable enforcement of codes, regulations, and ordinances. By diligently ensuring adherence to established standards, Code Compliance plays a vital role in preserving the visual appeal and structural integrity of properties, safeguarding public health and safety, and fostering a harmonious and thriving community environment. Through their dedicated efforts, the department strives to maintain a high standard of living and a welcoming atmosphere for all who live in or visit Walton County."
County Administration,"Administration is responsible for executing the directives and priorities set forth by the Board of County Commissioners (BCC), ensuring efficient and effective governance within Walton County. Acting as the central hub of communication and coordination, Administration serves as the primary interface for the Citizens of Walton County, offering accessibility and responsiveness to their concerns, queries, and needs. 

In addition to facilitating citizen engagement, Administration functions as a supportive backbone for all county departments, offering crucial assistance and resources to ensure smooth operations across various sectors. By providing administrative support, guidance, and oversight, Administration helps departments optimize their functions, streamline processes, and achieve their respective objectives in alignment with the broader county goals. 

Furthermore, Administration serves as a vital link between the Board of County Commissioners and the constitutional offices and municipalities within Walton County. Acting as a liaison, it fosters collaboration, communication, and coordination among these entities, facilitating the exchange of information, resources, and initiatives to promote synergy and coherence in governance efforts.

Through its multifaceted roles, Administration plays a crucial part in upholding transparency, accountability, and responsiveness in county governance, ultimately contributing to the well-being and prosperity of Walton County and its residents."
Eagle Springs Golf and Recreation Center,"Walton County owns one golf course: Eagle Springs Golf and Recreation Center. The Board of County Commissioners purchased this course in 2019 with the goal of providing economic development and enhancing the quality of life for our residents and visitors through sports and recreation. Eagle Springs consists of 190 acres of property that contains an 18 hole golf course, as well as four spring fed lakes. This course is managed by the County with the goal of providing both citizens and visitors excellent recreational opportunities at affordable rates, while embracing the integrity of the game. More than 30,000 rounds of golf are played annually on this course. Eagle Springs provides additional amenities, including a driving range and a pro golf shop. Other recreational opportunities are also available, including pickleball courts, a public swimming pool, and a walking path around the perimeter of the golf course.

Eagle Springs provides additional amenities, including a driving range and a pro golf shop. Other recreational opportunities are also available, including pickleball courts, a public swimming pool, and a walking path around the perimeter of the golf course."
Eagle Springs Grill,"Eagle Springs Grill strives on providing exceptional service to the community, and ensuring quality food is produced for all patrons of the community as well as the golfers and pool attendees. We consistently feed the many charity golf tournaments as well as private events which include wedding receptions, class reunions & family gatherings throughout the year. As servants of the county, we strive to offer affordable food for all to enjoy and bringing camaraderie to the community."
Emergency Management,"The Emergency Management Department is responsible for all aspects of disaster management 24 hours a day/seven days a week. We take a “Whole Community Approach’ which is a collaborative effort involving government agencies, non-profit organizations, businesses, and community members. The Emergency Operations Center (EOC) serves as the central hub for communications, command, and coordination for disasters in Walton County and in the EOC we have processes for streamlined resource management, tactical operations, and information coordination with the public and our responding community partners."
Engineering Department,"The primary function of the County Engineering Department is to manage the design and construction of Walton County infrastructure projects. Additional departmental duties include, but are not limited to, providing capital improvement design and CEI project management (consultants), providing capital improvement construction project management (contractors), traffic operations, right-of-way permitting, surveying, infrastructure (FDOT) grant writing/applications and administration, right-of-way review for development order applications for the Planning Department, plat review for the Planning Department applications, driveway connection permitting to County facilities within municipal boundaries and utility/engineering oversight for the sewer system at the Northwest Florida Commerce Park at Mossy Head. The Engineering Department works with other internal County departments and other County agencies in project management and provides support on grant funded infrastructure improvement projects while coordinating with OMB on grant administration. Project management of County funded capital improvement projects, including in-house projects, is performed by Department staff. Coordination with utility companies, permitting agencies and other project associated parties is facilitated by department staff. The Department provides long range infrastructure programming and coordinates with regional organizations such as the Okaloosa-Walton Transportation Planning Organization. Staff coordinates with Florida Department of Transportation (FDOT), Florida Department of Environmental Protection (FDEP), Northwest Florida Water Management District (NWFWMD), United States Army Corps of Engineers (USACOE) and other State and Federal Agencies that hold regulatory jurisdiction over County projects."
Environmental Resources,"The Walton County Environmental Resource serves as the cornerstone for environmental stewardship within the county, tasked with providing comprehensive environmental support services to various stakeholders including County government, citizens, and federal, state, and local government agencies. At its core, it is dedicated to safeguarding and enhancing the natural resources of Walton County. Through proactive initiatives and collaborative efforts, it addresses a spectrum of environmental issues ranging from conservation and preservation of ecosystems to sustainable development practices. By fostering partnerships and leveraging expertise, the division plays a pivotal role in promoting environmental sustainability, resilience, and harmony between human activities and the natural environment in Walton County."
Extension Office,"The Walton County Extension Service (also known as Agricultural Extension Services) provides scientifically based information for current and pertinent issues that will enable county residents and non-residents to make informed decisions that will improve their quality of life. Access of such knowledge is available from the University of Florida and is provided by trained professionals (extension agents). Development of educational programs takes into consideration changes that affect Walton County government, its residents, the environment, and natural and human resources. Local Extension education programs are cooperatively funded by the County, the University of Florida, the U.S. Department of Agriculture, and other joint cooperators."
Geographic Info Systems,"The Walton County Geographic Information Systems (GIS) Department manages a Geographic Information System and provides geographic services, data, products and resources to multiple users including county offices, other agencies, and the public to aid in decision making."
Housing & Urban Development,"The Section 8 tenant-based Housing Choice Voucher (HCV) assistance program is funded by the federal government and administered by the Walton County Housing Agency for the jurisdiction of Walton County, Florida. A public housing agency (PHA) is a governmental or public body, created and authorized by state law to develop and operate housing and housing programs for low-income families. The PHA enters into an Annual Contributions Contract with HUD to administer the program requirements on behalf of HUD. The PHA must ensure compliance with federal laws, regulations and notices and must establish policy and procedures to clarify federal requirements and to ensure consistency in program operation."
Human Resources,"The Walton County Department of Human Resources provides centralized personnel services for all Walton County BCC departments. We work with departments to identify and assist with workforce issues, including recruitment, selection, performance management, standardizing discipline policies, employee development and knowledge transfer, managing workers’ compensation benefits, and providing ongoing evaluation of workplace policies and procedures. We manage benefits for the Walton County BCC, all constitutional offices, and retirees, including health, dental, vision, life insurance, LTD, optional coverages, and the Florida Retirement System. Furthermore, we oversee ADA compliance issues, including countywide ADA inspections, software conformity, and we respond to ADA concerns brought to the attention of the county. We currently are staffed with 13 full-time employees."
Libraries,"The Public Library System supports free access to library services throughout Walton County with facilities in Flowersview, DeFuniak Springs, Freeport, and Santa Rosa Beach. Additionally, the bookmobile acts as a mobile branch and makes weekly stops along with serving schools, assisted living facilities, and other events in Walton County.

The libraries provide access to items for circulation including books, audiobooks, DVD/Blu-ray, mobile hotspots, Chromebooks, microscopes, telescopes, ukuleles, STEAM kits, StaySharp kits, kids tablets, and other technology equipment. Access to public computers with high-speed internet, WiFi, copying, printing, faxing, and notary are also available.

 
The libraries have maker equipment available for public use, including 3D printers, Glowforge, sewing machines, die cut machines, and robots. Digital resources include the Libby app for e-books, e-audiobooks, and e-magazines, Universal Class for virtual courses on over 600 topics, Knowledge City for professional development and small business courses, CreativeBug for arts and crafts workshops and tutorials, ABCmouse for early literacy learning, and the Florida Electronic Library for Gale databases on many topics of interest.

The libraries offer Interlibrary Loan services, which facilitate borrowing from all libraries in the State of Florida to all of our cardholders. The Walton County Libraries support Career Online High School, providing asynchronous high school diploma programs to adult learners. Additionally, a variety of programs and events for all ages along with one-on-one technology assistance is available at all library locations."
Mosquito Control,"The Mosquito Control Department is dedicated to protecting public health and enhancing the quality of life for residents and visitors by managing mosquito populations. Through strategic planning and targeted interventions, we work to minimize nuisance and reduce the risk of mosquito-borne diseases. Our efforts include surveillance, larval control, and public education, all aimed at achieving effective mosquito management while fostering community involvement and awareness."
Mossy Head Wastewater Treatment Facility,"The Mossy Head Wastewater Sewer System currently provides gravity and force main sewer service for the Northwest Commerce Industrial Park area. The overall objective for the Mossy Head Wastewater Treatment Facility budget is to ensure the manpower and resources necessary to operate and maintain the plant and wastewater collection system in a cost-effective manner within FDEP operating guidelines, meeting wastewater treatment standards and develop a maintenance schedule for evaluation, routine maintenance and replacement of key components. The Department will utilize the necessary software needed to develop and maintain a modeling program for the wastewater distribution system to analyze current conditions as well as plan for future growth. Coordination efforts with the Surveying Department will continue in order to develop and maintain as-built drawings for the existing sewer system that are needed in the development of the wastewater modeling program. Staff will work, ensure that any new regulatory requirements (FDEP) are being satisfied, identify areas for potential expansion to acquire additional flow to the WWTP necessary to ensure affordable operational costs for users, and further define the system’s usage rate structure for anticipated residential connections in the future and pursue any financial assistance opportunities in regard to any expansion efforts."
Office of Management and Budget,"The Office of Management and Budget (OMB) plays a pivotal role in Walton County by providing comprehensive financial and administrative support to the Board of County Commissioners (BCC). The department is responsible for overseeing all funds authorized to ensure their proper utilization, and offers advice and guidance to department and division heads. Within the department, key functions include preparing and monitoring the annual operating and capital budget, overseeing grant budgets and reporting, and maintaining the inventory of capital assets. By diligently executing these responsibilities, the OMB contributes significantly to the County’s fiscal responsibility and overall operational efficiency, in alignment with BCC policies and regulatory standards."
Office of the County Attorney,"Under the direction of the County Attorney, the Office of the County Attorney (OCA) provides legal services to the County. There are three primary areas of focus: contracts, litigation, and public records. Contracts: OCA is responsible for drafting or reviewing all documents that legally bind the County. Litigation: OCA represents the Board in all court cases involving the County, either directly or through facilitating any outside counsel. Public Records: OCA provides records management for the County in addition to supporting and advising all departments to fulfill public records requests (PRR)."
Planning,"The Walton County Planning & Development Services Department serves as staff and provides professional land use planning advice to the Board of County Commissioners. The Department is responsible for implementing, maintaining, and updating the Walton County Comprehensive Plan and Land Development Code, concurrency management, including implementation of the Mobility Plan, Floodplain Management, and management of growth through consistent residential and non-residential development review in unincorporated Walton County to ensure that a proposed development or request is in compliance with the adopted codes, policies, regulations and standards of the County and of other public and quasi-public agencies. The Department also staffs the Planning Commission, the Zoning Board of Adjustments, the Design Review Board, and the Affordable Housing Committee."
Probation,Our department's function fulfills a vital role in collaborating with the judicial system to enforce court-ordered obligations for probationers sentenced to county probation. The probation department monitors the progress of probationers to ensure compliance with the various court-ordered conditions.
Public Works,"The Public Works Department provides services related to infrastructure maintenance, repair, and construction that will enhance the quality of life for Walton County citizens and visitors. We go to great lengths to stay abreast of what the concerns of our citizens are, while being mindful of the available taxpayer funds. We diligently consider every infrastructure improvement plan to ensure we are providing the best solutions that will provide a positive, long-term impact."
Purchasing,"The Purchasing Department of Walton County plays a crucial role in ensuring the effective and efficient management of purchasing activities in adherence to applicable federal, state, and local laws, statutes, ordinances, regulations, and rules. With a mission centered around optimizing the value for every taxpayer dollar spent, the department is committed to securing goods and services at the most favorable prices while maintaining the highest standards of quality and service delivery. Procurement is also responsible for Inventory Management, ensuring the County maintains adequate supplies of essential items."
Recreation,"The Recreation Department is essential to improving the community’s quality of life by providing safe, well-maintained, and ever-evolving recreational programs. These activities are designed to promote the physical and mental well-being of citizens of all ages, from young children to senior citizens. With a particular emphasis on youth development, the department offers a diverse range of recreational opportunities that foster community engagement, encourage healthy lifestyles, and contribute to the social and cultural enrichment of the area. By prioritizing the needs and interests of its residents, the Recreation Department strives to create a vibrant, active, and connected community."
Soil Conservation,"The Soil Conservation Office of Walton County, in collaboration with the Natural Resources Conservation Service (NRCS), provides technical assistance and financial incentives to help local farmers, ranchers, and foresters practice soil conservation, protect water resources, and create wildlife habitats. This office is essential in implementing voluntary conservation programs that benefit both landowners and the environment. Staffed by soil conservationists and technicians, the office supports the Choctawhatchee River Soil and Water Conservation District by offering USDA-NRCS cost-sharing programs like the Environmental Quality Incentives Program (EQIP) and the Conservation Stewardship Program (CSP). Additionally, the office supplies necessary hydrologic engineering data for designing stormwater and sediment control structures, shares topographical and soil information, maintains historical aerial photos of the county, and guides citizens in connecting with the right conservation agencies."
Solid Waste,"Walton County Solid Waste (Solid Waste) manages the Franchise Agreement with Waste Management Inc., for municipal waste collection and disposal in Walton County. They also oversee the daily operations of the Walton County Central Landfill (WCCL), which includes a Class I Transfer Station, Class III Landfills, recycling facilities, closed landfill cells, a yard waste facility, a waste tire collection center, and a groundwater monitoring and remediation system. All of these operations are permitted by the Florida Department of Environmental Protection (FDEP). Solid Waste staff are responsible for directing disposal operations, ensuring regulatory compliance, operating waste processing facilities, maintaining the landfill site, roads, stormwater control, and managing the collection and processing of waste and recycling across the county."
Tourism Administration,"For the overall tourism administration, our measurements are related to a stable and strong revenue base that's consistent with years past and allows us to continue our efforts to support our visitors and community through TDT-funded projects. Keeping our ADR high and managing visitation across the year is key to a strong and successful tourism year. We'd like to accomplish all of this while supporting our partners and their efforts to drive visitation to Walton County, generating billions of dollars in economic impact."
Sales and Visitor Center,"The Group Sales team generates new business opportunities and builds awareness of Walton County as a destination for the meetings and conventions, incentives, weddings, and consumer travel markets. We aim to be a trusted source of information while inspiring group travel to Walton County."
Communications,"The Communications Division supports the mission of the Walton County Tourism Department through endeavors that inspire travel as well as educate and inform our visitors, residents, partners, and stakeholders about the value of Walton County as a top-tier travel destination. Specifically we develop and implement a strategic communications plan across earned and owned media channels for public relations and media activities, including FAM tours and press visits. We also build engagement between local residents, community stakeholders, and partners - our -tourism facing businesses - and educate them on the value of tourism as the No. 1 economic driver for the county and a key element to building community vitality and quality of place to live, work and visit."
Marketing,"Marketing for Walton County Tourism is to strategically communicate the various messages to our target audiences based on research. Through creative marketing, an engaging social media presence and dedicated coordination with meeting planners promoting all the meaningful details that create a unique experience for each visitor and potential visitors. This work has a positive impact on the area by stimulating visitor spending and creating a wide variety of jobs. Visitation also cover the vast majority of Walton County government revenues, saving each local household a considerable amount on their taxes annually."
North Walton,The purpose of this funding is to build awareness of Walton County as a destination for visitors to explore north of Choctawhatchee Bay.
Beach Renourishment,"This funding primarily aims to finance beach renourishment for the 26 miles of beach in Walton County, which is a main attraction for visitors."
Beach Tram,"The Beach Tram Program is a transportation service designed to improve access to popular beach areas while reducing traffic congestion and parking demand. Funded through tourism revenues, the program provides free shuttle service between designated parking locations and key beach access points, allowing visitors to enjoy a more convenient and efficient beach experience. The initiative supports sustainable tourism by minimizing vehicle impact in high-traffic zones and enhancing overall mobility for residents and guests. It is part of the county’s broader strategy to improve infrastructure, promote accessibility, and elevate the quality of the visitor experience."
Tourism Beach Operations,"Beach Operations encompasses a wide array of critical tasks vital for maintaining the pristine beauty and functionality of our coastal areas. It encompasses not only routine beach maintenance and re-nourishment efforts but also the construction and upkeep of essential infrastructure such as regional and neighborhood beach accesses, bay parks, municipal parking facilities, and the expansive multi-use trail network. Moreover, Beach Operations extends its purview to include the meticulous maintenance of iconic scenic corridors like U.S. Highway 331, U.S. Highway 98, County Route 30A, and the Scenic Gulf Drive Corridor, ensuring these vital routes remain not just conduits of transportation but also scenic treasures reflective of our coastal charm."
South Walton Fire Lifeguard Services,"Under the Lifeguard Services Agreement with Walton County, the South Walton Fire District receives annual funding to support beach safety operations. Beginning in 2025, the agreement includes a 4% annual increase in compensation based on the prior year’s amount to help sustain service levels as costs rise. This funding structure ensures that lifeguard staffing, training, and equipment needs are met, supporting a safe and enjoyable beach experience for residents and visitors alike.

[South Walton Lifeguard Agreement](https://www.mywaltonfl.gov/DocumentCenter/View/45233/South-Walton-Lifeguard-Agreement)"
Public Safety,"**Sheriff's Office Beach Safety and Ambassador Programs**

The Walton County Sheriff’s Office oversees a comprehensive beach safety strategy. This includes a dedicated Beach Patrol that provides emergency response, monitors public areas, and ensures a secure environment for residents and visitors alike. In December 2023, the Board of County Commissioners approved the Beach Ambassador Program, staffed by year-round Sheriff’s Office employees. These ambassadors serve as a visible and approachable presence on the beach, focused on proactive engagement, public safety awareness, and enhancing visitor experience through communication and support.

**Beach Code Compliance and Beach Stewards**

Beach Code Compliance Officers patrol beach areas to enforce local regulations and respond to community concerns, ensuring public spaces remain safe, orderly, and accessible. In February 2025, the County approved the Beach Stewardship Program under Code Compliance, allowing for the hiring of two full-time and up to 20 part-time seasonal Beach Stewards. These stewards serve a non-enforcement role, providing visitor education and assistance at regional beach accesses, particularly during the peak season. Their focus is on promoting awareness of beach rules, preserving natural resources, and offering a welcoming presence to guests.

[Sheriff's Office Beach Safety and Ambassador Programs Request](https://www.mywaltonfl.gov/DocumentCenter/View/45250/Sheriffs-Office-Beach-Safety-and-Ambassador-Programs-Request)

[Beach Code Compliance and Beach Stewards Request](https://www.mywaltonfl.gov/DocumentCenter/View/45249/Beach-Code-Request)
"
Veteran Services,"The Veteran Services Department wants to communicate with every veteran and their dependents in Walton County, to administer and advocate for all the benefits they have earned. To provide excellent customer service for all our veterans and family members in such a manner that depicts the gratitude and honor reserved for those who have sacrificed so much. We believe the best way to represent the Board of County Commissioners and instill confidence in local government is to provide accurate information and serve our clients in a courteous and professional manner."
