Dept_Name,Position_ID*,Position_Name,Hourly_Base_Wage,Standard_Hours_per_Year,Allocation,Fund,Commissioner_Vehicle_Allowance,Health_Plan,Coverage,Pension_Plan,Risk_Code,Weekend_Pay
00102000,50,Executive Assistant,$24.20,2080,100.00%,001,$0,FB7,FAM,7210,8810,$0
00102000,51,Program Development & Outreach Coordinator,$27.16,2080,100.00%,001,$0,FB2,EE,7225,8810,$0
00113000,52,Extension Clerk,$25.12,2080,100.00%,001,$0,,,7210,8810,$0
00113000,53,4-H Program Assistant,$21.27,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
00113000,54,Extension Agent III,$17.71,2080,100.00%,001,$0,,,0,8810,$0
00113000,55,Extension Agent II,$30.52,2080,100.00%,001,$0,,,7210,8810,$0
00113000,56,Extension Agent II,$14.70,2080,100.00%,001,$0,,,7210,8810,$0
00113000,57,Director of County Extension,$28.07,2080,100.00%,001,$0,,,0,8810,$0
00113000,58,FCS Extension Agent,$8.38,1040,100.00%,001,$0,,,7210,9102,$0
00113000,59,Extension Agent III,$16.81,2080,100.00%,001,$0,,,7210,8810,$0
00101000,60,Chairperson's Aide,$35.00,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
00106000,61,Fixed Asset & ADA Coordinator,$35.90,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
11141010,,Beach Maintenance Landscape Technician,$25.14,2080,100.00%,111,$0,FB1,EE,7210,9102,$500
11141010,,Beach Maintenance Landscape Technician,$25.14,2080,100.00%,111,$0,FB1,EE,7210,9102,$500
11141010,62,Beach Maintenance Landscape Technician,$25.14,2080,100.00%,111,$0,FB2,EE,7210,9102,$500
11141010,63,Assistant Landscape Crew Leader,$24.81,2080,100.00%,111,$0,FB3,EE,7225,9015,$500
11141010,64,Director of Beach Operations,$57.69,2080,100.00%,111,$0,FB2,EE,7225,8810,$0
11141010,65,Executive Assistant,$32.50,2080,100.00%,111,$0,FB2,EE,7210,8810,$0
11141010,66,Administrative Assistant,$27.02,2080,100.00%,111,$0,FB3,FAM,7225,8810,$0
11141010,67,Shop Foreman,$38.26,2080,100.00%,111,$0,FB3,EE,7210,8380,$0
11141010,68,Assistant Beach Maintenance Specialist Crew Leader,$25.69,2080,100.00%,111,$0,FB1,EE,7210,9015,$500
11141010,69,Electrician,$35.11,2080,100.00%,111,$0,FB2,EE,7225,5190,$500
11141010,70,Beach Operations Projects Coordinator,$32.92,2080,100.00%,111,$0,FB2,FAM,7225,8810,$500
11141010,71,Deputy Director of Beach Operations,$45.22,2080,100.00%,111,$0,FB2,FAM,7225,8810,$0
11141010,72,Assistant Shop Foreman,$23.22,2080,100.00%,111,$0,FB1,EE,7210,8810,$500
11141010,73,Assistant Beach Maintenance Technician Crew Leader,$28.02,2080,100.00%,111,$0,FB2,EE,7210,9015,$500
11141010,74,Beach Maintenance Manager,$38.25,2080,100.00%,111,$0,FB3,EE,7225,8810,$500
11141010,75,Assistant Beach Maintenance Specialist Crew Leader,$25.69,2080,100.00%,111,$0,FB2,FAM,7225,9015,$500
11141010,76,Beach Maint Technician Crew Leader,$28.27,2080,100.00%,111,$0,FB2,EE,7225,9015,$500
11141010,77,Beach Maintenance Specialist,$23.45,2080,100.00%,111,$0,FB1,EE,7210,9102,$500
11141010,78,Beach Maintenance Specialist,$21.50,2080,100.00%,111,$0,FB1,EE,7210,9015,$500
11141010,79,Beach Maintenance Landscape Technician,$23.45,2080,100.00%,111,$0,FB3,EE,7210,9102,$500
11141010,80,Beach Maintenance Landscape Technician,$21.88,2080,100.00%,111,$0,FB2,FAM,7210,9102,$500
11141010,81,Beach Maintenance Landscape Technician,$20.06,2080,100.00%,111,$0,FB2,FAM,7210,9102,$500
11141010,82,Beach Maintenance Landscape Technician,$20.41,2080,100.00%,111,$0,FB2,FAM,7225,9102,$500
11141010,83,Beach Maintenance Landscape Technician,$20.06,2080,100.00%,111,$0,FB2,EE,7210,7380,$500
11141010,84,Beach Maintenance Specialist,$22.02,2080,100.00%,111,$0,FB2,EE,7200,9015,$500
11141010,85,Beach Maintenance Specialist,$22.02,2080,100.00%,111,$0,FB3,EE,7225,9015,$500
11141010,86,Beach Maintenance Specialist,$22.02,2080,100.00%,111,$0,FB2,EE,7225,9015,$500
11141010,87,Beach Maintenance Specialist,$20.90,2080,100.00%,111,$0,FB2,EE,7225,9015,$500
11141010,88,Beach Maintenance Specialist,$20.19,2080,100.00%,111,$0,FB2,EE,7225,9015,$500
11141010,89,Beach Maintenance Specialist,$19.78,2080,100.00%,111,$0,FB2,EE,7225,9015,$500
11141010,90,Beach Maintenance Specialist,$19.16,2080,100.00%,111,$0,FB3,EE,7225,9015,$500
11141010,91,Beach Maintenance Specialist,$19.16,2080,100.00%,111,$0,FB2,FAM,7225,9015,$500
11141010,92,Beach Maintenance Specialist,$19.16,2080,100.00%,111,$0,FB2,EE,7225,9015,$500
11141010,93,Beach Maintenance Specialist,$18.51,2080,100.00%,111,$0,FB2,EE,7210,9015,$500
11141010,94,Beach Maintenance Specialist,$18.51,2080,100.00%,111,$0,FB2,EE,7210,9015,$500
11141010,95,Beach Maintenance Specialist,$18.51,2080,100.00%,111,$0,FB3,EE,7210,9015,$500
11141010,96,Beach Maintenance Specialist,$18.51,2080,100.00%,111,$0,FB1,EE,7225,9015,$500
11141010,97,Beach Maintenance Specialist,$18.51,2080,100.00%,111,$0,FB3,EE,7225,9015,$500
11141010,98,Beach Maintenance Specialist,$18.83,2080,100.00%,111,$0,FB3,EE,7210,9015,$500
11141010,99,Beach Maintenance Specialist,$18.51,2080,100.00%,111,$0,FB1,EE,7225,9015,$500
11141010,100,Beach Maintenance Specialist,$18.51,2080,100.00%,111,$0,FB3,FAM,7210,9015,$500
11141010,101,Beach Maintenance Specialist,$18.51,2080,100.00%,111,$0,FB2,EE,7225,9015,$500
11141010,102,Beach Maintenance Specialist,$18.19,2080,100.00%,111,$0,FB1,EE,7210,9015,$500
11141010,103,Beach Maintenance Technician,$24.70,2080,100.00%,111,$0,FB2,FAM,7210,9015,$500
11141010,104,Beach Maintenance Technician,$33.18,2080,100.00%,111,$0,FB3,FAM,7210,9015,$500
11141010,105,Beach Maintenance Technician,$23.45,2080,100.00%,111,$0,FB3,FAM,7210,9015,$500
11141010,106,Beach Maintenance Technician,$32.05,2080,100.00%,111,$0,FB1,EE,7210,9015,$500
11141010,107,Beach Maintenance Technician,$20.77,2080,100.00%,111,$0,FB3,EE,7210,9015,$500
10326000,108,Office Manager,$44.92,2080,100.00%,103,$0,FB2,EE,7210,8810,$0
10326000,109,Building Technician,$23.31,2080,100.00%,103,$0,FB5,FAM,7225,8810,$0
10326000,110,Building Official,$80.15,2080,100.00%,103,$0,FB1,EE,7210,8810,$0
10326000,111,Building Inspector/Plans Reviewer,$52.64,2080,100.00%,103,$0,FB2,EE,7210,9410,$0
10326000,112,Building Coordinator,$29.01,2080,100.00%,105,$0,FB5,FAM,7210,8810,$0
10326000,113,Building Coordinator,$33.91,2080,100.00%,105,$0,FB1,FAM,7210,8810,$0
10326000,114,Building Technician,$24.13,2080,100.00%,103,$0,FB2,FAM,7225,8810,$0
10326000,115,Building Technician,$24.13,2080,100.00%,103,$0,FB3,EE,7225,8810,$0
10326000,116,Building Technician,$23.72,2080,100.00%,103,$0,FB3,EE,7225,8810,$0
10326000,117,Building Technician,$23.72,2080,100.00%,103,$0,FB5,FAM,7225,8810,$0
10326000,118,Building Technician,$23.31,2080,100.00%,103,$0,FB3,FAM,7210,8810,$0
10326000,119,Building Technician,$22.51,2080,100.00%,103,$0,FB2,FAM,7210,8810,$0
10326000,120,Building Inspector III,$46.31,2080,100.00%,103,$0,FB2,EE,7205,9410,$0
10326000,121,Building Inspector I,$33.08,2080,100.00%,103,$0,FB3,FAM,7210,9015,$0
10326000,122,Building Inspector III,$46.31,2080,100.00%,103,$0,FB3,EE,7210,9410,$0
10326000,123,Building Inspector I,$33.08,2080,100.00%,103,$0,FB3,EE,7210,9015,$0
10326000,124,Building Technician,$22.51,2080,100.00%,103,$0,FB1,EE,7210,8810,$0
10326000,125,Building Technician,$22.51,2080,100.00%,103,$0,FB2,FAM,7225,8810,$0
10326000,126,Plans Reviewer,$49.25,2080,100.00%,103,$0,FB3,FAM,7210,9015,$0
10326000,127,Building Clerk,$18.01,2080,100.00%,103,$0,FB2,EE,7210,8810,$0
10326000,128,Building Inspector I,$33.08,2080,100.00%,103,$0,FB2,EE,7225,9015,$0
00102030,129,Code Compliance Officer Street,$28.51,2080,100.00%,001,$0,FB3,FAM,7210,9410,"$1,000"
00102030,,Code Compliance Officer Street,$28.51,2080,100.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00102030,,Code Compliance Officer Street,$28.51,2080,100.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00102030,130,Code Compliance Officer Beach,$28.51,2080,10.00%,001,$0,FB3,FAM,7210,9410,"$1,000"
00102030,131,Code Compliance Technician,$24.20,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00102030,132,Code Compliance Technician,$27.80,2080,100.00%,001,$0,FB2,FAM,7210,8810,$0
00102030,133,Code Compliance Manager,$36.06,2080,100.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00102030,134,Code Compliance Officer STR,$26.14,2080,100.00%,001,$0,FB3,EE,7210,9410,"$1,000"
00102030,135,Code Compliance Officer Street,$26.14,2080,100.00%,001,$0,FB2,FAM,7210,9410,"$1,000"
00102030,136,Code Compliance Officer Beach,$26.14,2080,10.00%,001,$0,FB2,FAM,7210,9410,"$1,000"
00102030,137,Code Compliance Shift Supervisor,$28.04,2080,90.00%,001,$0,FB2,FAM,7210,9410,"$1,000"
00102030,138,Code Compliance Shift Supervisor,$28.04,2080,10.00%,001,$0,FB2,FAM,7210,9410,"$1,000"
00102030,139,Code Compliance Officer Street,$26.14,2080,100.00%,001,$0,FB2,EE,7210,9410,"$1,000"
00102030,140,Code Compliance Officer Beach,$26.14,2080,10.00%,001,$0,FB2,EE,7210,9410,"$1,000"
00102030,141,Code Compliance Officer Street,$26.14,2080,100.00%,001,$0,FB2,EE,7210,9410,"$1,000"
00102030,142,Code Compliance Officer Beach,$26.14,2080,10.00%,001,$0,FB2,EE,7210,9410,"$1,000"
00102030,143,Code Compliance Officer Beach,$25.69,2080,90.00%,001,$0,FB2,FAM,7225,9410,"$1,000"
00102030,144,Code Compliance Officer Beach,$25.69,2080,10.00%,001,$0,FB2,FAM,7225,9410,"$1,000"
00102030,145,Code Compliance Officer Parking,$24.39,2080,100.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00102030,146,Code Compliance Technician,$21.81,2080,100.00%,001,$0,FB2,EE,7210,8810,"$1,000"
00102030,147,Code Compliance Officer Parking,$25.25,2080,100.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00102030,148,Code Compliance Officer Beach,$25.25,2080,90.00%,001,$0,FB2,EE,7210,9410,"$1,000"
00102030,149,Code Compliance Officer Beach,$25.25,2080,10.00%,001,$0,FB2,EE,7210,9410,"$1,000"
00102030,150,Office Manager,$40.91,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00102030,151,Director of Code Compliance,$71.64,2080,50.00%,001,$0,FB2,EE,7251,8810,$0
00102030,152,Director of Code Compliance,$71.64,2080,50.00%,001,$0,FB2,EE,7251,8810,$0
00102030,153,Code Compliance Officer Beach,$26.60,2080,90.00%,001,$0,FB3,EE,7225,9410,"$1,000"
00102030,154,Code Compliance Officer Beach,$26.60,2080,10.00%,001,$0,FB3,EE,7225,9410,"$1,000"
00102030,155,Code Compliance Officer Beach,$27.06,2080,90.00%,001,$0,FB2,EE,7210,9410,"$1,000"
00102030,156,Code Compliance Officer Beach,$27.06,2080,10.00%,001,$0,FB2,EE,7210,9410,"$1,000"
00102030,157,Code Compliance Shift Supervisor,$28.55,2080,90.00%,001,$0,FB2,EE,7225,9410,"$1,000"
00102030,158,Code Compliance Shift Supervisor,$28.55,2080,10.00%,001,$0,FB2,EE,7225,9410,"$1,000"
00102030,159,Code Compliance Shift Supervisor,$28.09,2080,90.00%,001,$0,FB2,EE,7225,9410,"$1,000"
00102030,160,Code Compliance Shift Supervisor,$28.09,2080,10.00%,001,$0,FB2,EE,7225,9410,"$1,000"
00102030,161,Deputy Director of Code Compliance,$47.54,2080,50.00%,001,$0,FB2,EE,7245,8810,$0
00102030,162,Deputy Director of Code Compliance,$47.54,2080,50.00%,001,$0,FB2,EE,7245,8810,$0
00102030,163,Code Compliance Technician,$21.43,2080,100.00%,001,$0,FB2,FAM,7225,8810,"$1,000"
00102030,164,Code Compliance Officer Beach,$24.81,2080,90.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00102030,166,Code Compliance Manager,$40.16,2080,90.00%,001,$0,FB3,EE,7210,9410,"$1,000"
00102030,167,Code Compliance Manager,$40.16,2080,10.00%,001,$0,FB3,EE,7210,9410,"$1,000"
00102030,168,Lead Beach Steward,$21.20,2080,90.00%,001,$0,FB3,EE,7225,9015,"$1,000"
00102030,169,Lead Beach Steward,$21.20,2080,10.00%,001,$0,FB3,EE,7225,9015,"$1,000"
00102030,170,Lead Beach Steward,$21.20,2080,90.00%,001,$0,FB3,FAM,7225,9015,"$1,000"
00102030,171,Lead Beach Steward,$21.20,2080,10.00%,001,$0,FB3,FAM,7225,9015,"$1,000"
00102030,172,Code Compliance Officer Beach,$24.39,2080,90.00%,001,$0,FB3,FAM,7225,9410,"$1,000"
00102030,173,Code Compliance Officer Beach,$24.39,2080,10.00%,001,$0,FB3,FAM,7225,9410,"$1,000"
00102030,174,Code Compliance Officer Parking,$24.39,2080,100.00%,001,$0,FB2,EE,7210,9410,"$1,000"
00102030,175,Code Compliance Officer Beach,$25.25,2080,90.00%,001,$0,FB2,FAM,7225,9410,"$1,000"
00102030,177,Code Compliance Officer Beach,$25.25,2080,90.00%,001,$0,FB2,FAM,7225,9410,"$1,000"
00102030,179,Operations Support Specialist,$23.63,2080,100.00%,001,$0,FB2,EE,7225,8810,"$1,000"
00102030,180,Code Compliance Officer Beach,$24.39,2080,90.00%,001,$0,FB1,EE,7225,9410,"$1,000"
00102030,181,Code Compliance Officer Beach,$24.39,2080,10.00%,001,$0,FB1,EE,7225,9410,"$1,000"
00102030,182,Code Compliance Shift Supervisor,$28.04,2080,100.00%,001,$0,FB1,EE,7225,8810,"$1,000"
00102030,,Code Compliance Shift Supervisor,$28.04,2080,100.00%,001,$0,FB1,EE,7225,8810,"$1,000"
00102030,183,Code Compliance Shift Supervisor,$28.04,2080,100.00%,001,$0,FB1,EE,7225,8810,"$1,000"
00102030,184,Code Compliance Officer Beach,$24.39,2080,90.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00102030,186,Code Compliance Officer Parking,$24.39,2080,100.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00102030,187,Code Compliance Officer Beach,$25.69,2080,90.00%,001,$0,FB1,EE,7225,9410,"$1,000"
00102030,188,Code Compliance Officer Beach,$25.69,2080,10.00%,001,$0,FB1,EE,7225,9410,"$1,000"
00102030,189,Code Compliance Officer Beach,$26.14,2080,90.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00102030,190,Code Compliance Officer Beach,$26.14,2080,10.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00102030,191,Code Compliance Officer Beach,$26.14,2080,90.00%,001,$0,FB1,EE,7225,9410,"$1,000"
00102030,192,Code Compliance Officer Beach,$26.14,2080,10.00%,001,$0,FB1,EE,7225,9410,"$1,000"
00102030,194,Code Compliance Officer Beach,$28.00,2080,90.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00102030,195,Code Compliance Officer Beach,$28.00,2080,10.00%,001,$0,FB1,EE,7210,9410,"$1,000"
00117000,196,Custodian,$22.64,2080,100.00%,001,$0,FB3,FAM,7210,9015,$0
00117000,197,Custodian,$18.70,2080,100.00%,001,$0,FB2,EE,7225,9015,$0
00117000,,Custodian,$18.70,2080,100.00%,001,$0,FB2,EE,7225,9015,$0
00117000,198,Custodian,$18.70,2080,100.00%,001,$0,FB2,EE,7210,9015,$0
00117000,199,Custodian,$18.38,2080,100.00%,001,$0,FB2,EE,7210,9015,$0
00117000,200,Custodian,$19.70,2080,100.00%,001,$0,FB2,EE,7210,9015,$0
00117000,201,Custodian,$17.76,2080,100.00%,001,$0,FB1,EE,7210,9015,$0
00117000,202,Custodian,$16.00,2080,100.00%,001,$0,FB2,EE,7210,9015,$0
00117000,203,Custodian,$16.00,2080,100.00%,001,$0,FB2,EE,7210,9015,$0
00117000,204,Custodian Supervisor,$27.45,2080,100.00%,001,$0,FB2,FAM,7225,9015,$0
00117000,205,Custodian,$15.72,2080,100.00%,001,$0,FB5,FAM,7210,9015,$0
00117000,206,Custodian,$16.00,2080,100.00%,001,$0,FB2,EE,7210,9015,$0
10326000,207,Custodian - Building,$16.37,2080,100.00%,103,$0,FB2,EE,7210,9015,$0
00101000,209,Commissioner's Aide,$34.33,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
00101000,210,County Commissioner,$30.64,2080,100.00%,001,"$15,500",FB1,EE,7230,8810,$0
00101000,211,Commissioner's Aide,$39.50,2080,100.00%,001,$0,FB2,EE,7205,8810,$0
00101000,212,County Commissioner,$30.64,2080,100.00%,001,"$15,500",FB1,EE,7250,8810,$0
00101000,213,Commissioner's Aide,$37.10,2080,100.00%,001,$0,FB1,EE,7210,8810,$0
00101000,214,County Commissioner,$30.64,2080,100.00%,001,"$15,500",FB1,EE,7230,8810,$0
00101000,215,Commissioner's Aide,$33.65,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00101000,216,County Commissioner,$30.64,2080,100.00%,001,"$15,500",FB1,EE,7230,8810,$0
00101000,217,Commissioner's Aide,$38.12,2080,100.00%,001,$0,FB1,EE,7225,8810,$0
00101000,218,County Commissioner,$30.64,2080,100.00%,001,"$15,500",FB1,EE,7230,8810,$0
00111001,219,Emergency Management Coordinator,$36.42,2080,100.00%,001,$0,FB3,FAM,7225,8810,$0
00111001,220,Director of Emergency Management,$57.38,2080,100.00%,001,$0,FB3,EE,7220,8810,$0
00111001,221,Deputy Director of Emergency Management,$43.50,2080,100.00%,001,$0,FB3,FAM,7225,8810,$0
00111001,222,Emergency Management Logistics Coordinator,$32.11,2080,100.00%,001,$0,FB3,FAM,7220,8810,$0
00111001,,Technology Coordinator,$26.00,1040,100.00%,001,$0,,,7210,8810,$0
00113000,,Office Manager,$29.99,2080,100.00%,001,$0,FB3,EE,7210,8810,$0
00119000,,Environmental Scientist,$29.87,2080,100.00%,001,$0,FB1,EE,7225,8810,$0
10116002,,Junior Survey Party Chief,$29.35,2080,100.00%,101,$0,,,7210,8601,$0
00111001,223,Recovery & Mitigation Coordinator,$32.21,2080,100.00%,001,$0,FB3,EE,7225,8810,$0
10116002,224,CEI Project Coordinator,$53.97,2080,100.00%,101,$0,FB2,EE,7210,8810,$0
10116002,225,Senior Survey Party Chief,$47.40,2080,100.00%,101,$0,FB2,FAM,7210,8601,$0
10116002,226,Capital Improvements Work Program Engineer,$69.85,2080,100.00%,101,$0,FB2,EE,7210,8603,$0
10116002,227,County Engineer,$77.33,2080,100.00%,101,$0,FB2,FAM,7220,8603,$0
10116002,228,Long Range Infrastructure Program Engineer,$69.85,2080,100.00%,101,$0,FB3,EE,7210,8603,$0
10116002,229,Projects Manager,$47.45,2080,100.00%,101,$0,FB2,EE,7210,8810,$0
10116002,230,County Surveyor,$53.27,2080,100.00%,101,$0,FB3,FAM,7210,8601,$0
10116002,231,Staff Engineer II,$61.94,2080,100.00%,101,$0,FB2,FAM,7210,8810,$0
10116002,232,Senior Right of Way Specialist,$41.75,2080,100.00%,101,$0,FB3,EE,7210,8810,$0
10116002,233,Administrative Project Coordinator,$26.60,2080,100.00%,101,$0,FB1,EE,7210,8810,$0
10116002,234,Staff Engineer I,$47.96,2080,100.00%,101,$0,FB3,FAM,7210,8603,$0
10116002,235,Engineering Technician I,$37.74,2080,100.00%,101,$0,FB2,EE,7210,8810,$0
10116002,236,Staff Engineer I,$42.91,2080,100.00%,101,$0,FB2,EE,7210,8603,$0
00119000,237,Environmental Manager,$48.90,2080,100.00%,001,$0,FB2,EE,7210,8810,$0
00119000,238,Environmental Technician,$26.14,2080,100.00%,001,$0,FB1,EE,7225,8810,$0
00112040,239,Food & Beverage Manager,$31.83,2080,100.00%,001,$0,FB2,EE,7210,8810,"$1,000"
00112040,240,Golf Course Cook,$26.56,2080,100.00%,001,$0,FB3,FAM,7225,9082,"$1,000"
00112040,241,Golf Course Server,$10.98,2080,100.00%,001,$0,FB3,EE,7225,9082,"$1,000"
00112040,242,Golf Course Server,$10.98,2080,100.00%,001,$0,,,0,9082,"$1,000"
00112040,243,Golf Course Cook,$20.47,2080,100.00%,001,$0,FB2,EE,7225,9082,"$1,000"
00112040,244,Lead Golf Course Server,$11.98,2080,100.00%,001,$0,,,7225,9082,"$1,000"
00117000,245,Facilities Maintenance Technician I,$19.50,2080,100.00%,001,$0,FB3,EE,7210,9015,$100
00117000,246,Facilities Maintenance Technician I,$19.84,2080,100.00%,001,$0,FB3,EE,7225,9015,$100
00117000,247,Facilities Maintenance Technician III,$24.89,2080,100.00%,001,$0,FB2,EE,7210,9015,$100
00117000,,Facilities Maintenance Technician III,$24.89,2080,100.00%,001,$0,FB1,EE,7210,9015,$100
00117000,248,Deputy Director of Building Construction & Facilities Maintenance,$44.17,2080,100.00%,001,$0,FB6,FAM,7210,9015,$0
00117000,249,Facilities Maintenance Technician III,$40.94,2080,100.00%,001,$0,FB1,EE,7210,5190,$100
00117000,250,Facilities Maintenance Technician III,$36.46,2080,100.00%,001,$0,FB3,EE,7210,9015,$100
00117000,251,Facilities Maintenance Technician II,$26.39,2080,100.00%,001,$0,FB3,EE,7210,9015,$100
