Dept_Code,Dept_Name,Dept_Group,Org_Type,Activity
111331,Federal Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
113331,Federal Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
300331,Federal Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
107337,Grants from Other Local Units,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
001334,State Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
101334,State Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
104334,State Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
106334,State Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
107334,State Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
109334,State Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
111334,State Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
112334,State Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
201334,State Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
300334,State Grants,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
001336,State Payment in Lieu of Tax,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
105336,State Payment in Lieu of Tax,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
107336,State Payment in Lieu of Tax,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
101336,State Payment in Lieu of Taxes,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
001335,State Shared Revenues,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
101335,State Shared Revenues,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
107335,State Shared Revenues,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
109335,State Shared Revenues,Intergovernmental Revenue,Intergovernmental Revenue,Intergovernmental Revenue
108351,Judgements and Fines,Court-Ordered Judgments and Fines,"Judgments, Fines, and Forfeits","Judgments, Fines, and Forfeits"
001354,Fines Local Ordinance Violations,Fines,"Judgments, Fines, and Forfeits","Judgments, Fines, and Forfeits"
107359,Inmate Fees,"Other Judgments, Fines, and Forfeitures","Judgments, Fines, and Forfeits","Judgments, Fines, and Forfeits"
107356,State Fines and Forfeits,State Fines & Forfeits,"Judgments, Fines, and Forfeits","Judgments, Fines, and Forfeits"
001366,Contributions & Donations,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
101366,Contributions & Donations,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
107364,Disposition of Fixed Assets,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
001364,Disposition of Fixed Assets,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
101364,Disposition of Fixed Assets,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
103364,Disposition of Fixed Assets,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
106364,Disposition of Fixed Assets,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
111364,Disposition of Fixed Assets,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
112364,Disposition of Fixed Assets,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
300364,Disposition of Fixed Assets,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
001361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
101361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
102361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
103361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
104361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
105361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
106361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
107361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
108361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
109361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
110361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
111361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
112361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
113361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
114361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
115361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
201361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
300361,Interest & Other Earnings,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
116361,Mobility Fees,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
111369,Other Miscellaneous Revenue,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
001369,Other Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
101369,Other Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
103369,Other Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
107369,Other Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
112369,Other Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
113369,Other Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
115369,Other Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
300369,Other Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
114369,Recreation Plat Fees,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
001362,Rents and Royalties,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
111362,Rents and Royalties,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
112365,Sale of Surplus Material & Scrap,Miscellaneous Revenues,Miscellaneous Revenues,Miscellaneous Revenues
001384,Debt Proceeds,Other Sources,Other Sources,Other Sources
300384,Debt Proceeds,Other Sources,Other Sources,Other Sources
001386,Intragovernmental Transfers,Other Sources,Other Sources,Other Sources
107386,Intragovernmental Transfers,Other Sources,Other Sources,Other Sources
001389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
101389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
102389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
104389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
105389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
106389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
109389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
110389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
111389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
112389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
113389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
114389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
201389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
300389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
503389,Non-Operating Sources,Other Sources,Other Sources,Other Sources
107389,Prop Non-Operating Sources,Other Sources,Other Sources,Other Sources
103389,Proprietary Non-Operating,Other Sources,Other Sources,Other Sources
103322,Building Permits,"Permits, Fees, and Special Assessments","Permits, Fees, and Special Assessments","Permits, Fees, and Special Assessments"
001324,E911 Fund,"Permits, Fees, and Special Assessments","Permits, Fees, and Special Assessments","Permits, Fees, and Special Assessments"
103329,Other Permits & Fees,"Permits, Fees, and Special Assessments","Permits, Fees, and Special Assessments","Permits, Fees, and Special Assessments"
001329,"Permits, Fee, and Special Assessments","Permits, Fees, and Special Assessments","Permits, Fees, and Special Assessments","Permits, Fees, and Special Assessments"
101324,Sign Fees & Sewer Impact Fees,"Permits, Fees, and Special Assessments","Permits, Fees, and Special Assessments","Permits, Fees, and Special Assessments"
112000,Solid Waste Balance Sheet Accounts,Solid Waste,Walton County Government,Physical Environment
107000,Fine & Forfeiture Balance Sheet Accounts,Sheriff's Office,Constitutional Officers,Public Safety
103000,Building Balance Sheet Accounts,Building Department,Walton County Government,Public Safety
101000,Public Works Balance Sheet Accounts,Public Works,Walton County Government,Transportation
