Dept_Code,Dept_Name,Position_Name,2024,2025,2026,2027
,Property Appraiser,Property Appraiser,38,38,38,37
10116001,Public Works,Assistant Road Foreman,6,6,6,6
10116001,Public Works,Public Works Director,1,1,1,1
10116001,Public Works,Specialty Crew Foreman,5,5,5,5
10116001,Public Works,Utility Inspector,0,0,1,1
10116001,Public Works,Lowboy Operator,1,1,1,1
10116001,Public Works,Executive Assistant,1,1,1,1
10116001,Public Works,Work Order Supervisor,1,1,1,1
10116001,Public Works,Office Manager,1,1,1,1
10116001,Public Works,Automotive Equipment Technician III,2,2,2,2
10116001,Public Works,County Shop Foreman,1,1,1,1
10116001,Public Works,Automotive Equipment Technician I,3,3,3,3
10116001,Public Works,Sign Shop Technician,1,1,1,1
10116001,Public Works,Administrative Assistant,7,7,7,7
10116001,Public Works,General Equipment Operator,20,20,21,21
10116001,Public Works,Public Works Operations Manager,1,1,1,1
10116001,Public Works,Asphalt Operator I,2,2,2,2
10116001,Public Works,Road Maintenance Technician II,1,1,1,1
10116001,Public Works,Heavy Equipment Operator,57,57,61,61
10116001,Public Works,Paint Heavy Equipment Operator,1,1,1,1
10116001,Public Works,Road Maintenance Technician,1,1,1,1
10116001,Public Works,Special Projects Coordinator,1,1,1,1
10116001,Public Works,Paint Maintenance Technician,1,1,1,1
10116001,Public Works,North Zone Manager,1,1,1,1
10116001,Public Works,Field Service Technician,2,2,2,2
10116001,Public Works,Deputy Director of Public Works,1,1,1,1
10116001,Public Works,Inventory Control Specialist,1,1,1,1
10116001,Public Works,Public Works Accounting Technician,1,1,1,1
10116001,Public Works,Mot Flagger,3,3,3,3
10116001,Public Works,Fleet Manager,1,1,1,1
10116001,Public Works,Asphalt Operator II,5,5,5,5
10116001,Public Works,Lead Fabricator/Machinist,1,1,1,1
10116001,Public Works,Paint Foreman,1,1,1,1
10116001,Public Works,Work Squad Supervisor,1,1,1,1
10116001,Public Works,Asphalt Foreman,1,1,1,1
10116001,Public Works,Road Foreman,5,5,5,5
10116001,Public Works,Automotive Equipment Technician II,2,2,2,2
10116001,Public Works,Special Projects Foreman,1,1,1,1
00107020,Purchasing,Procurement Coordinator,1,1,1,1
00107020,Purchasing,Logistics Coordinator,1,1,1,1
00107020,Purchasing,Contracts Coordinator,0,0,1,1
00107020,Purchasing,Procurement Analyst,2,2,2,2
00107020,Purchasing,Buyer,2,2,2,2
00107020,Purchasing,Fixed Asset & Inventory Coordinator,1,1,1,1
00107020,Purchasing,Director of Procurement,1,1,1,1
00107020,Purchasing,Procurement Manager,1,1,1,1
00112000,Recreation,Recreation Program Coordinator,2,2,2,2
00112000,Recreation,Director of Parks & Recreation,1,1,1,1
00112000,Recreation,Administrative Assistant,2,2,2,2
,Sheriff,Sheriff,630,668,668,668
00114000,Soil Conservation,Office Manager,1,1,1,1
00114000,Soil Conservation,Soil Conservation Technician,1,1,1,1
11242000,Solid Waste,Solid Waste & Recycling Technician,3,3,3,3
11242000,Solid Waste,Solid Waste Foreman,0,1,1,1
11242000,Solid Waste,Solid Waste General Equipment Operator,5,5,5,5
11242000,Solid Waste,Office Manager,1,1,1,1
11242000,Solid Waste,Solid Waste Heavy Equipment Operator,7,7,7,7
11242000,Solid Waste,Solid Waste Senior Equipment Operator,2,2,2,2
11242000,Solid Waste,Solid Waste Office Clerk,1,1,1,1
11242000,Solid Waste,Administrative Assistant,1,1,1,1
11242000,Solid Waste,Solid Waste Heavy Equipment Operator & Technician,1,1,1,1
11242000,Solid Waste,Lead Solid Waste & Recycling Technician,1,1,1,1
11242000,Solid Waste,Solid Waste Operations Manager,1,1,1,1
11242000,Solid Waste,Director of Environmental Services,1,1,1,1
,Tax Collector,Tax Collector,40,40,40,40
11141000,Tourism Administration,Sustainability And Stewardship Coordinator,1,1,0,0
11141000,Tourism Administration,Tourism Administrative Specialist,1,1,1,1
11141000,Tourism Administration,Administrative Support Specialist,1,1,1,1
11141000,Tourism Administration,Tourism Director,1,1,1,1
11141060,Tourism Marketing,Graphic Designer,3.5,1,1,1
11141030,Tourism Sales and Visitors Center,Visitor Information Manager,1,1,1,1
11141030,Tourism Sales and Visitors Center,Weekend Lead Information Specialist,0,0,0,1
11141030,Tourism Sales and Visitors Center,Visitor Information Specialist,3,4,4,3
11141030,Tourism Sales and Visitors Center,Sales Manager,1,1,1,1
11141030,Tourism Sales and Visitors Center,Deputy Director of Tourism - Sales,1,1,1,1
11141030,Tourism Sales and Visitors Center,Tourism Sales Specialist,1,1,1,1
11141090,Tourism Beach Tram,Transportation Assistant Mechanic,1,0,0,0
11141040,Tourism Communications,Deputy Director of Tourism - Communications,1,1,1,1
11141040,Tourism Communications,Industry Relations Specialist,1,1,1,1
11141040,Tourism Communications,Content & Public Relations Specialist,1,1,1,1
11141040,Tourism Communications,Content Coordinator,1,1,1,1
11141040,Tourism Communications,Database Specialist,1,1,1,1
11141060,Tourism Marketing,Marketing Manager,1,0,0,0
11141060,Tourism Marketing,Marketing Specialist,5,2,2,2
11141060,Tourism Marketing,Deputy Director of Tourism - Marketing,1,1,1,1
11141000,Tourism Administration,Executive Director,1,1,1,1
11141010,Tourism Beach Operations,Beach Operations Projects Coordinator,1,1,1,1
11141010,Tourism Beach Operations,Assistant Landscape Crew Leader,1,1,1,1
11141010,Tourism Beach Operations,Beach Maintenance Specialist Crew Leader,2,2,2,2
11141010,Tourism Beach Operations,Beach Maintenance Manager,1,1,1,1
11141010,Tourism Beach Operations,Assistant Beach Maintenance Specialist Crew Leader,2,2,2,2
11141010,Tourism Beach Operations,Executive Assistant,1,1,1,1
11141010,Tourism Beach Operations,Administrative Assistant,1,1,1,1
11141010,Tourism Beach Operations,Beach Maintenance Technician,6,8,8,8
11141010,Tourism Beach Operations,Beach Maint Technician Crew Leader,1,1,1,1
11141010,Tourism Beach Operations,Deputy Director of Beach Operations,0,1,1,1
11141010,Tourism Beach Operations,Beach Maintenance Landscape Technician,6,6,6,8
11141010,Tourism Beach Operations,Shop Foreman,1,1,1,1
11141010,Tourism Beach Operations,Electrician Helper,0,0,0,1
11141010,Tourism Beach Operations,Assistant Shop Foreman,1,1,1,1
11141010,Tourism Beach Operations,Assistant Beach Maintenance Technician Crew Leader,1,1,1,1
11141010,Tourism Beach Operations,Electrician,1,1,1,1
11141010,Tourism Beach Operations,Beach Maintenance Specialist,29,29,29,33
11141010,Tourism Beach Operations,Landscape Maintenance Coordinator,0,1,1,1
11141010,Tourism Beach Operations,Director of Beach Operations,1,1,1,1
11141090,Tourism Beach Tram,Beach Tram Driver,60,44,44,48
11141090,Tourism Beach Tram,Transportation Specialist,2,2,2,2
11141090,Tourism Beach Tram,Administrative Assistant,2,1,1,1
11141090,Tourism Beach Tram,Transportation Assistant Crew Leader,4,2,2,4
11141090,Tourism Beach Tram,Transportation Crew Leader,2,2,2,2
11141090,Tourism Beach Tram,Transportation Assistant Manager,1,1,1,1
11141090,Tourism Beach Tram,Transportation Mechanic,1,1,1,1
11141090,Tourism Beach Tram,Transportation Manager,1,1,1,1
11141030,Tourism Sales and Visitors Center,Lead Visitor Information Specialist,1,1,1,1
00110000,Veteran Services,Assistant Veterans Officer,1,1,1,1
00110000,Veteran Services,Veterans Service Officer,1,1,1,1
,Circuit Court,Administrative Assistant II ,1,1,1,1
,Board of County Commissioners,County Commissioner,5,5,5,5
,Board of County Commissioners,Commissioner's Aide,5,5,5,5
,Board of County Commissioners,Chairperson's Aide,0,0,1,1
00109000,Probation,Probation Officer II,1,1,1,1
,Clerk of Circuit Court,IT Tech III,,,,1
,Clerk of Circuit Court,IT Systems Administrator,,,,1
,Clerk of Circuit Court,Network Administrator,,,,1
,Clerk of Circuit Court,Clerk of Circuit Court,74,72,77,77
00112000,Recreation,Assistant Recreation Coordinator,1,1,1,1
,Sheriff,School Resource Officer,,,,1
11242000,Solid Waste,Solid Waste Scale Operator,2,2,2,3
,Supervisor of Elections,Supervisor of Elections,9.5,9.5,10,10
00110000,Veteran Services,Administrative Assistant,0,0,0,1
